,precision,recall,f1-score,support
High (250–450 kcal),0.8615384615384616,0.875,0.8682170542635659,64.0
Low (<100 kcal),0.9569377990430622,0.9523809523809523,0.954653937947494,210.0
Medium (100–250 kcal),0.9285714285714286,0.9154929577464789,0.9219858156028369,142.0
Very High (>450 kcal),0.9473684210526315,0.9,0.9230769230769231,60.0
,0.25,0.6666666666666666,0.36363636363636365,3.0
accuracy,0.9227557411273486,0.9227557411273486,0.9227557411273486,0.9227557411273486
macro avg,0.7888832220411168,0.8619081153588196,0.8063140189054367,479.0
weighted avg,0.9301558402041865,0.9227557411273486,0.9257635255385577,479.0
